Priority,Status,Vacancy,Team ,Subteam ,Reason,Level,Published,Closed,Closed Month ,Time to fill,1st contact,Time to hire,Closing year,Job boards,Location,Staff/Non-staff,Info From
MEDIUM,Hired,Data Analyst,Analytics,Mobile Team ,Replacement ,Senior,12.06.2025,06.03.2026,3,268,19.02.2026,12,2026,Djinni ,Kyiv,staff,
HIGH,Hired,Data Analyst,Analytics,Mobile Team ,Extension,Middle,13.11.2025,20.01.2026,1,69,13.11.2025,49,2026, Linkedin ,Kyiv,staff,
HIGH,Hired,Growth Product Manager,Product (Web),Creator quiz,Extension,Middle,14.10.2025,29.01.2026,1,108,23.12.2025,28,2026,External Referral,Garmany,staff,
HIGH,Hired,Front End Engineer,Engineering (Web),Vision,Replacement ,Middle,17.11.2025,03.02.2026,2,79,17.12.2025,35,2026,Djinni ,Chernivtsi,staff,
MEDIUM,Hired,Backend Engineer (Node.js),Engineering (Web),Constructor,Extension,Junior ,20.11.2025,26.01.2026,1,68,03.12.2025,39,2026,Internal Referral ,Yemilchyne,staff,
LIGHT,Hired,Scrum Master,Scrum,Scrum,Extension,Junior ,05.12.2025,02.01.2026,1,29,08.12.2025,20,2026,Instagram,Kyiv,staff,
LIGHT,Hired,Scrum Master,Scrum,Scrum,Extension,Junior ,05.12.2025,14.01.2026,1,41,12.01.2026,3,2026,Support,Kyiv,staff,
HIGH,Hired,Product Owner,Product (Web),Constructor,Replacement ,Middle,10.12.2025,07.01.2026,1,29,16.12.2025,17,2026,Djinni ,Kyiv,staff,
HIGH,Hired,Product Owner,Product (Web),Platform,Extension,Middle,02.01.2026,14.01.2026,1,13,10.12.2025,26,2026, Linkedin ,Spain,staff,
HIGH,Hired,CMS Manager,Payment,Payment,Extension,Junior ,12.12.2025,26.01.2026,1,46,07.01.2026,14,2026,Work,Kyiv,staff,
HIGH,Hired,Backend Engineer (Node.js),Engineering (Web),HC Quiz BE,Extension,Senior,02.01.2026,09.01.2026,1,8,17.12.2025,18,2026,Djinni ,Uzhhorod,staff,
HIGH,Hired,Full Stack Engineer,Engineering (Web),Mind,Replacement ,Senior,23.01.2026,06.03.2026,3,43,18.02.2026,13,2026, Linkedin ,Zhytomyr,staff,
HIGH,Hired,Research Analyst,Product (Web),HC Quiz,Extension,Middle,27.01.2026,06.03.2026,3,39,07.02.2026,20,2026,Djinni ,Kyiv,staff,
HIGH,Hired,Research Analyst,Product (Web),HC Quiz,Replacement ,Junior ,27.01.2026,27.02.2026,2,32,05.02.2026,17,2026, Linkedin ,Kyiv,staff,
MEDIUM,Hired,UI/UX Designer ,Product Design (Web),HC Quiz,Extension,Middle,28.01.2026,19.02.2026,2,23,28.01.2026,17,2026,Internal Referral ,Kyiv,staff,
MEDIUM,Hired,Front End Engineer,Engineering (Web),Creator quiz,Extension,Senior,15.01.2026,26.01.2026,1,12,15.01.2026,8,2026,Internal Referral ,Netherlands,staff,
LIGHT,Hired,Scrum Master,Scrum,Scrum,Extension,Junior ,09.02.2026,10.02.2026,1,2,09.02.2026,2,2026,Support,Kyiv,staff,
MEDIUM,Hired,Manual QA Engineer,Engineering (Web),Vision,Extension,Middle,11.02.2026,21.04.2026,4,70,01.04.2026,15,2026,Internal Referral ,Zhytomyr,staff,
HIGH,Hired,Product Designer,Product Design (Web),Platform,Replacement ,Middle,18.02.2026,17.03.2026,3,28,19.01.2026,42,2026, Linkedin ,Kyiv,staff,
MEDIUM,Hired,AI Engineer,Engineering (Web),WEB,Extension,Senior,19.02.2026,19.06.2026,6,121,29.05.2026,16,2026,External Referral,Kyiv,staff,
HIGH,Hired,Full Stack Engineer,Engineering (Web),Mind,Extension,Senior,10.03.2026,20.04.2026,4,42,06.04.2026,11,2026,Career Portal,Kyiv,staff,
HIGH,Hired,Growth Product Manager,Product (Web),Mind,Extension,Middle,02.03.2026,08.05.2026,5,68,21.04.2026,14,2026,Dou ,Spain,staff,
HIGH,Hired,Backend Engineer (Node.js),Engineering (Web),HC Quiz BE,Extension,Middle,05.05.2026,12.06.2026,6,39,27.05.2026,13,2026, Linkedin ,Lviv,staff,
LIGHT,Hired,Expert Body Age,Product (Web),WEB,Сonsultation,Middle,14.05.2026,15.06.2026,6,33,28.05.2026,13,2026, Linkedin ,,Expert,
HIGH,Canceled,Growth Product Manager,Product (Web),HC Quiz,Extension,Senior,02.02.2026,01.04.2026,4,59,,,2026,,,staff,
HIGH,Canceled,HR Generalist,HR/R,HR/R,Extension,Middle,12.02.2026,22.05.2026,5,100,,,2026,,,staff,
MEDIUM,Canceled,Graphic Designer,Product Design (Web),Design,Extension,Junior ,26.02.2026,27.03.2026,3,30,,,2026,,,staff,
MEDIUM,Canceled,Graphic Designer,Product Design (Web),Design,Extension,Middle,27.02.2026,27.03.2026,3,29,,,2026,,,staff,
MEDIUM,Canceled,Front End Engineer,Engineering (Web),Unsubscribe,Extension,,26.05.2025,13.01.2026,1,233,,,2026,,,staff,
MEDIUM,Canceled,Product Designer,Product Design (Web),Design,Extension,Middle,20.10.2025,20.02.2026,2,124,,,2026,,,staff,
HIGH,Canceled,Product Owner,Product (Web),Light,Extension,Middle,10.12.2025,05.01.2026,1,27,,,2026,,,staff,
MEDIUM,Hired,Backend Engineer ,Engineering (Mobile),Coach,Extension,Senior,25.11.2025,16.01.2026,1,53,25.05.2025,170,2026,Recommendation,Khmelnytskyi,staff,
MEDIUM,Hired,Graphic Designer,Marketing,Creative,Extension,Middle,19.09.2025,16.01.2026,1,120,16.12.2025,24,2026,Work,Cherkasy,non-staff,
HIGH,Hired,Product Designer,Product (Mobile),Design,Extension,Senior,07.11.2025,30.01.2026,1,85,21.01.2026,8,2026,Dou ,Poland,staff,
MEDIUM,Hired,AI Creative Designer,Marketing,Creative,Extension,Junior ,19.11.2025,13.01.2026,1,56,11.12.2025,24,2026,Work,Odesa,non-staff,
MEDIUM,Hired,Junior Digital Marketing Specialist,Marketing,User Acquisition,Extension,Junior ,17.09.2025,23.01.2026,1,129,19.12.2025,26,2026,Robota,Poland,non-staff,
MEDIUM,Hired,Graphic Designer,Marketing,Creative,Extension,Junior ,16.01.2026,23.01.2026,1,8,06.01.2026,14,2026,Happy Monday,Zaporizhzhia,non-staff,
HIGH,Hired,2D Motion Designer,Marketing,Creative,Extension,Junior ,24.11.2025,08.01.2026,1,46,15.12.2025,19,2026,Career Portal,Boryslav,non-staff,
HIGH,Hired,Line Producer (Warsaw),Content,non-existent,Extension,Middle,14.10.2025,02.01.2026,1,81,22.12.2025,10,2026,Internal Database,"Poland, Warsaw",non-staff,
MEDIUM,Hired,Business Analyst,Product (Mobile),Product Management,Replacement ,Senior,12.11.2025,13.01.2026,1,63,01.12.2025,32,2026,Djinni ,Vinnytsia,staff,
HIGH,Hired,Product analyst,Analytics, Product,Replacement ,Middle,16.10.2025,26.1.2026,1,103,19.12.2025,38,2026,Recommendation,Kyiv,staff,
HIGH,Hired,Expert (Pilates China),Content,non-existent,Consultation,Expert,17.11.2025,13.1.2026,1,58,05.12.2025,28,2026,Balanced Body Site,China,Expert,
HIGH,Hired,Expert (Pilates China),Content,non-existent,Consultation,Expert,13.01.2026,21.1.2026,1,9,05.12.2025,34,2026,Xiaohongshu,China,Expert,
MEDIUM,Hired,Talent Sourcer,HR/R,TA,Extension,Middle,07.11.2025,23.01.2026,1,78,14.01.2026,8,2026,Djinni ,Spain,non-staff,
LIGHT,Hired,DevOps Engineer,Engineering (Mobile),DevOps,Replacement ,Senior,29.10.2025,16.01.2026,1,80,12.12.2025,26,2026,Career Portal,Kyiv,staff,
HIGH,Hired,2D Motion Designer,Marketing,Creative,Extension,Junior ,05.01.2026,19.01.2026,1,15,24.12.2025,19,2026,Robota,Kremenets,non-staff,
HIGH,Hired,2D Motion Designer,Marketing,Creative,Extension,Junior ,05.01.2026,19.01.2026,1,15,30.12.2025,15,2026,Work,Kremenchuk,non-staff,
MEDIUM,Hired,2D Motion Designer,Marketing,Creative,Extension,Junior ,05.01.2026,19.01.2026,1,15,23.12.2025,20,2026,Robota,Poltava,non-staff,
HIGH,Hired,Expert Pelvic Floor,Content,non-existent,Consultation,Expert,12.01.2026,30.01.2026,1,19,12.01.2026,15,2026, Linkedin ,USA,Expert,
MEDIUM,Hired,Business Analyst,Product (Mobile),Product Management,Replacement ,Senior,05.12.2025,20.01.2026,1,47,07.01.2026,10,2026,Djinni ,Zaporizhzhia,staff,
MEDIUM,Hired,Product Manager ,E-com,Non-tech,Extension,Junior ,08.10.2025,15.01.2026,1,100,10.12.2025,27,2026,Dou ,Kyiv,staff,
LIGHT,Hired,Technical Project Manager,Engineering (Mobile),,Extension,Middle,25.11.2025,08.01.2026,1,45,11.12.2025,21,2026,Djinni ,"Poland, Poznan",staff,
MEDIUM,Hired,UI/UX Designer,Brand Design,UX/UI,Extension,Middle,22.09.2025,27.01.2026,1,128,07.01.2026,15,2026, Linkedin ,Vinnytsia,staff,
MEDIUM,Hired,iOS Engineer,Engineering (Mobile),Hardware,Extension,Senior,11.12.2025,22.01.2026,1,43,23.12.2025,23,2026,Recommendation,Ivano-Frankivsk,staff,
LIGHT,Hired,IT Support Engineer,Engineering (Mobile),IT Support,Extension,Junior ,16.12.2025,15.01.2026,1,31,06.01.2026,8,2026,Djinni ,Kyiv,staff,
MEDIUM,Hired,PR & Employer Brand Manager,Brand Communications,Pr-Brand-Affiliate,Extension,Middle,18.12.2025,22.01.2026,1,36,22.12.2025,24,2026,Happy Monday,Lviv,staff,
MEDIUM,Hired,Content Operations Specialist,Content,non-existent,Extension,Junior ,12.01.2026,30.01.2026,1,19,15.01.2026,12,2026,Djinni ,Vinnytsia,non-staff,
MEDIUM,Hired,AI Creative Designer,Marketing,Creative,Extension,Junior ,13.01.2026,20.01.2026,1,8,24.12.2025,20,2026, Linkedin ,Netherlands,non-staff,
HIGH,Hired,Barre Instructor,Content,,Consultation,Expert,16.01.2026,29.01.2026,1,14,19.01.2026,9,2026, Linkedin ,USA,Expert,
HIGH,Hired,Motion Designer / Video Editor,Marketing,Creative,Extension,Middle,08.07.2025,02.02.2026,2,210,12.01.2026,16,2026, Linkedin ,Kyiv,non-staff,
HIGH,Hired,Product Designer,Product (Mobile),Design,Extension,Senior,08.12.2025,05.02.2026,2,60,23.01.2026,10,2026,Recommendation,Spain,staff,
MEDIUM,Hired,Junior Digital Marketing Specialist,Marketing,User Acquisition,Replacement ,Junior ,08.01.2026,03.02.2026,2,27,15.01.2026,14,2026,Career Portal,Lviv,non-staff,
HIGH,Hired,Lead Corporate & Legal Operations Counsel,Legal,non-existent,Extension,Senior,05.08.2025,27.02.2026,2,207,18.02.2026,8,2026,Перехід Genesis,Kyiv,staff,
MEDIUM,Hired,Digital Marketing Specialist,Marketing,User Acquisition,Extension,Middle,13.10.2025,24.02.2026,2,135,28.01.2026,20,2026,Career Portal,Poland,staff,
MEDIUM,Hired,2D Motion Designer,Marketing,Creative,Extension,Junior ,05.01.2026,26.02.2026,2,53,11.02.2026,12,2026,Djinni ,Moldova,non-staff,
HIGH,Hired,Manual QA Engineer (Android),Engineering (Mobile),Workouts,Extension,Middle,31.10.2025,04.02.2026,2,97,14.01.2026,16,2026,Djinni ,Kyiv,staff,
HIGH,Hired,Manual QA Engineer (Backend),Engineering (Mobile),Food,Extension,Middle,20.11.2025,18.02.2026,2,91,04.02.2026,11,2026,Djinni ,Kyiv,staff,
MEDIUM,Hired,Marketing Automation Engineer,Analytics,Analytics,Extension,Middle,03.11.2025,13.02.2026,2,103,03.02.2026,9,2026,Djinni ,Odesa,staff,
HIGH,Hired,iOS Engineer,Engineering (Mobile),Mind,Extension,Senior,05.01.2026,09.02.2026,2,36,13.01.2026,20,2026,Career Portal,Albania,staff,
MEDIUM,Hired,UX Writer,Product (Mobile),UX Research,Extension,Middle,19.01.2026,25.02.2026,2,38,23.01.2026,24,2026,LinkedIn Application,Uzhhorod,non-staff,
HIGH,Hired,General QA Engineer,E-com,Tech,Extension,Middle,18.12.2025,27.02.2026,2,72,11.02.2026,13,2026, Linkedin ,Poltava,staff,
MEDIUM,Hired,Product Manager,Product (Mobile),Workouts,Extension,Middle,22.12.2025,4.2.2026,2,45,12.1.2026,18,2026,Recommendation,Spain ,staff,
MEDIUM,Hired,Content Operations Specialist,Content,non-existent,Replacement ,Junior ,30.01.2026,06.02.2026,2,8,02.02.2026,5,2026,Dou ,Kyiv,non-staff,
MEDIUM,Hired,AI Creative Designer,Marketing,Creative,Extension,Junior ,13.01.2026,23.02.2026,2,42,02.02.2026,16,2026,Work,Dnipro,non-staff,
HIGH,Hired,Senior Accessibility Specialist,Product (Mobile),Design,Consultation,Expert,14.01.2026,15.02.2026,2,33,15.01.2026,22,2026, Linkedin ,San Francisco,Expert,
MEDIUM,Hired,Admin Manager,Content,non-existent,Extension,Junior ,03.02.2026,24.02.2026,2,22,10.02.2026,11,2026,Happy Monday,Vinnytsia,non-staff,
HIGH,Hired,Backend Engineer ,Engineering (Mobile),Workouts,Extension,Lead,13.09.2024,17.03.2026,3,551,18.02.2026,20,2026, Linkedin ,Kyiv,staff,
HIGH,Hired,Backend Engineer (Go+PHP),Engineering (Mobile),Backend Core,Extension,Senior,12.11.2025,05.03.2026,3,114,22.01.2026,31,2026,Djinni ,Kyiv,staff,
MEDIUM,Hired,Graphic Designer,Marketing,Creative,Extension,Junior ,26.01.2026,12.03.2026,3,46,25.02.2026,12,2026,Work,Ternopil,non-staff,
HIGH,Hired,Graphic Designer,Marketing,Creative,Extension,Junior ,04.02.2026,30.03.2026,3,55,12.03.2026,13,2026,Telegram,Kyiv,non-staff,
HIGH,Hired,International Tax Specialist,Legal,non-existent,Replacement ,Middle,16.10.2025,04.03.2026,3,140,12.02.2026,15,2026,Career Portal,Odesa,staff,
HIGH,Hired,Motion Designer / Video Editor,Marketing,Creative,Extension,Middle,05.01.2026,09.03.2026,3,64,13.02.2026,17,2026, Linkedin ,Ternopil,non-staff,
MEDIUM,Hired,Motion Designer / Video Editor,Marketing,Creative,Extension,Middle,05.01.2026,20.03.2026,3,75,02.03.2026,15,2026, Linkedin ,Odesa,non-staff,
MEDIUM,Hired,UGC Creators Manager,Content,non-existent,Extension,Junior ,13.02.2026,10.03.2026,3,26,19.2.2026,14,2026,Djinni ,Uzhhorod,non-staff,
MEDIUM,Hired,2D Motion Designer,Marketing,Creative,Extension,Junior ,05.01.2026,06.03.2026,3,61,11.02.2026,18,2026, Linkedin ,Kyiv,non-staff,
MEDIUM,Hired,2D Motion Designer,Marketing,Creative,Extension,Junior ,09.02.2026,16.03.2026,3,36,25.02.2026,14,2026, Linkedin ,Odesa,non-staff,
MEDIUM,Hired,2D Motion Designer,Marketing,Creative,Extension,Junior ,09.02.2026,23.03.2026,3,43,02.03.2026,16,2026,Dou ,Rivne,non-staff,
HIGH,Hired,Manual QA Engineer (iOS),Engineering (Mobile),Coach,Extension,Middle,29.01.2026,17.03.2026,3,47,25.02.2026,20,2026,Recommendation,Portugal,staff,
HIGH,Hired,Content Writer/Editor,Content,non-existent,Extension,Senior,03.12.2025,17.04.2026,3,136,12.01.2026,70,2026,Lezo,Portugal,non-staff,
MEDIUM,Hired,Content Project Manager,Content,non-existent,Extension,Middle,03.12.2025,26.03.2026,3,114,15.01.2026,51,2026,Career Portal,Kharkiv,non-staff,
MEDIUM,Hired,Fit Technician,E-com,Non-tech,Extension,Middle,23.02.2026,30.03.2026,3,36,05.03.2026,18,2026,WeChat,China,non-staff,
MEDIUM,Hired,People & Events Specialist,Employee Experience,Employee Experience,Replacement ,Middle,12.01.2026,03.03.2026,3,51,18.02.2026,10,2026,Career Portal,Kyiv,staff,
HIGH,Hired,AI Creative Designer,Marketing,Creative,Extension,Junior ,12.02.2026,23.03.2026,3,39,27.02.2026,17,2026,Work,Chernihiv,non-staff,
HIGH,Hired,Junior Creative Marketing Specialist,Marketing,Creative Marketing,Replacement ,Junior ,14.01.2026,25.03.2026,3,71,10.03.2026,12,2026,Happy Monday,Mukachevo,non-staff,
MEDIUM,Hired,Partnership Specialist,Brand Communications,non-existent,Extension,Middle,20.01.2026,02.03.2026,3,42,29.01.2026,23,2026, Linkedin ,Kyiv,staff,
MEDIUM,Hired,Legal Counsel,Legal,non-existent,Extension,Junior ,05.02.2026,16.03.2026,3,40,20.02.2026,17,2026,Dou ,Lviv,staff,
MEDIUM,Hired,Medical Board Research Consultant,Product (Mobile),non-existent,Consultation,Expert,11.03.2026,27.03.2026,3,17,11.03.2026,13,2026, Linkedin ,USA,Expert,
MEDIUM,Hired,Content Specialist ,E-com,Non-tech,Extension,Junior ,23.02.2026,27.03.2026,3,33,18.03.2026,8,2026,Recommendation,Horokhiv,non-staff,
HIGH,Hired,Certified Sex Therapist,Content,non-existent,Consultation,Expert,02.03.2026,18.03.2026,3,17,02.03.2026,13,2026, Linkedin ,USA,Expert,
HIGH,Hired,Calisthenics Expert (female),Content,non-existent,Consultation,Expert,03.03.2026,24.03.2026,3,22,11.03.2026,10,2026, Linkedin ,USA,Expert,
MEDIUM,Hired,2D Artist,Marketing,Creative,Extension,Junior ,03.03.2026,30.03.2026,3,28,04.03.2026,19,2026,Dou ,Cherkasy,non-staff,
HIGH,Hired,Logistics Documentation Consultant,E-com,non-existent,Consultation,Expert,20.02.2026,26.03.2026,3,35,05.03.2026,16,2026, Linkedin ,Switzerland,Expert,
HIGH,Hired,Logistics Documentation Consultant,E-com,non-existent,Consultation,Expert,18.03.2026,31.03.2026,3,14,19.03.2026,9,2026, Linkedin ,Dnipro,Expert,
MEDIUM,Hired,Celebrity Marketing Consultant ,Brand Communications,non-existent,Consultation,Expert,25.02.2026,31.03.2026,3,35,03.03.2026,21,2026, Linkedin ,USA,Expert,
HIGH,Hired,Backend Engineer (Go+PHP),Engineering (Mobile),Hardware,Extension,Senior,29.10.2025,24.4.2026,4,178,01.04.2026,18,2026,Career Portal,Poznan,staff,
HIGH,Hired,Graphic Designer,Marketing,Creative,Extension,Junior ,11.03.2026,06.04.2026,4,27,17.03.2026,15,2026,Djinni ,Lviv,non-staff,
MEDIUM,Hired,Graphic Designer,Marketing,Creative,Extension,Junior ,25.03.2026,06.04.2026,4,13,12.03.2026,18,2026,Dou ,Kyiv,non-staff,
MEDIUM,Hired,Graphic Designer,Marketing,Creative,Extension,Junior ,25.03.2026,16.04.2026,4,23,26.03.2026,16,2026,Happy Monday,Brovary,non-staff,
MEDIUM,Hired,UGC Creators Manager,Content,non-existent,Extension,Junior ,06.03.2026,1.4.2026,4,27,11.3.2026,16,2026,Happy Monday,Kyiv,non-staff,
HIGH,Hired,2D Motion Designer,Marketing,Creative,Extension,Junior ,09.02.2026,10.4.2026,4,61,23.03.2026,15,2026,Robota,Zhytomyr,non-staff,
HIGH,Hired,2D Motion Designer,Marketing,Creative,Extension,Junior ,23.03.2026,20.4.2026,4,29,02.04.2026,13,2026,Work,Kyiv,non-staff,
HIGH,Hired,2D Motion Designer,Marketing,Creative,Extension,Junior ,23.03.2026,20.4.2026,4,29,27.03.2026,17,2026,Djinni ,Germany,non-staff,
HIGH,Hired,2D Motion Designer,Marketing,Creative,Extension,Junior ,23.03.2026,21.4.2026,4,30,01.04.2026,15,2026,Dou ,Kyiv,non-staff,
HIGH,Hired,AI Creative Designer,Marketing,Creative,Extension,Junior ,12.02.2026,02.04.2026,4,50,10.03.2026,18,2026,після курсів,Portugal,non-staff,
HIGH,Hired,AI Creative Designer,Marketing,Creative,Extension,Junior ,12.02.2026,06.04.2026,4,54,17.03.2026,15,2026,GoIT,Lviv,non-staff,
HIGH,Hired,AI Creative Designer,Marketing,Creative,Extension,Junior ,12.02.2026,07.04.2026,4,55,12.03.2026,19,2026,Career Portal,Odesa,non-staff,
HIGH,Hired,AI Creative Designer,Marketing,Creative,Extension,Junior ,12.02.2026,08.04.2026,4,56,16.03.2026,18,2026,Dou ,Poland,non-staff,
HIGH,Hired,AI Creative Designer,Marketing,Creative,Extension,Junior ,12.02.2026,29.04.2026,4,77,01.04.2026,21,2026,Work,Cherkasy,non-staff,
MEDIUM,Hired,AI Creative Designer,Brand Design,Brand,Extension,Middle,11.03.2026,29.04.2026,4,50,19.03.2026,30,2026,Djinni ,Germany,staff,
MEDIUM,Hired,Junior Marketing Research Specialist,Marketing,non-existent,Extension,Junior ,20.02.2026,08.04.2026,4,48,18.03.2026,16,2026,Recommendation,Bucha,non-staff,
HIGH,Hired,Legal Counsel,Legal,non-existent,Extension,Junior ,05.02.2026,20.04.2026,4,75,23.03.2026,21,2026,Dou ,UK,staff,
MEDIUM,Hired,Digital Marketing Specialist,Marketing,User Acquisition,Extension,Middle,25.02.2026,30.06.2026,4,126,10.06.2026,15,2026,Career Portal,Kyiv,staff,
MEDIUM,Hired,Designer (freelance),E-com,non-existent,Extension,Expert,03.03.2026,02.04.2026,4,31,03.03.2026,23,2026, Linkedin ,Prague,non-staff,
HIGH,Hired,Fashion Constructor,E-com,non-existent,Extension,Middle,19.02.2026,21.04.2026,4,62,09.03.2026,32,2026,Work,Kyiv,non-staff,
